year,store,total,total_clp
2020,Teno-6,1202088.3,1130323628.0
2020,Molina-2,1269996.59,1194177794.0
2020,Cauquenes-1,1273276.94,1197262307.0
2020,Constitución-10,1284562.73,1207874335.0
2020,San Clemente-5,1300104.65,1222488402.0
2020,Longaví-3,1310130.37,1231915587.0
2020,Curicó-7,1316838.09,1238222856.0
2020,Villa Alegre-8,1340457.86,1260432526.0
2020,Talca-9,1351620.91,1270929142.0
2020,Linares-4,1394041.41,1310817138.0
2021,Teno-6,1203656.1,1131797831.0
2021,Linares-4,1255502.03,1180548559.0
2021,Molina-2,1268220.19,1192507445.0
2021,San Clemente-5,1272298.57,1196342345.0
2021,Villa Alegre-8,1279177.99,1202811064.0
2021,Cauquenes-1,1295870.83,1218507341.0
2021,Longaví-3,1322854.69,1243880265.0
2021,Curicó-7,1346134.48,1265770252.0
2021,Talca-9,1348590.27,1268079431.0
2021,Constitución-10,1375086.09,1292993450.0
2022,Longaví-3,1203117.83,1131291696.0
2022,Teno-6,1230122.3,1156683999.0
2022,Cauquenes-1,1232816.27,1159217139.0
2022,Curicó-7,1256221.18,1181224776.0
2022,Linares-4,1290293.55,1213263025.0
2022,San Clemente-5,1306131.19,1228155158.0
2022,Constitución-10,1309544.72,1231364900.0
2022,Villa Alegre-8,1331160.71,1251690416.0
2022,Talca-9,1335719.05,1255976623.0
2022,Molina-2,1384673.14,1302008154.0
2023,Villa Alegre-8,1250238.92,1175599656.0
2023,Cauquenes-1,1255432.73,1180483396.0
2023,Molina-2,1264422.7,1188936665.0
2023,Talca-9,1294999.82,1217688331.0
2023,Constitución-10,1299662.42,1222072574.0
2023,Linares-4,1305776.49,1227821634.0
2023,Teno-6,1340287.92,1260272731.0
2023,Longaví-3,1366179.43,1284618518.0
2023,Curicó-7,1377719.01,1295469185.0
2023,San Clemente-5,1413220.57,1328851302.0
2024,Teno-6,1175373.13,1105203354.0
2024,Cauquenes-1,1244859.2,1170541106.0
2024,Curicó-7,1276816.68,1200590724.0
2024,Talca-9,1299241.94,1221677196.0
2024,Linares-4,1300272.57,1222646298.0
2024,San Clemente-5,1320929.82,1242070310.0
2024,Constitución-10,1350384.3,1269766357.0
2024,Molina-2,1362594.99,1281248069.0
2024,Longaví-3,1362685.85,1281333505.0
2024,Villa Alegre-8,1385895.56,1303157595.0
2025,Longaví-3,455822.4,428609803.0
2025,Teno-6,495874.79,466271065.0
2025,Cauquenes-1,506419.43,476186190.0
2025,Villa Alegre-8,509767.43,479334314.0
2025,Linares-4,514981.11,484236738.0
2025,Molina-2,515922.02,485121475.0
2025,Constitución-10,519436.2,488425859.0
2025,Curicó-7,535162.08,503212904.0
2025,San Clemente-5,562061.86,528506767.0
2025,Talca-9,572710.73,538519899.0
