year,store,total,total_clp
2020,Cauquenes-2,1424387.63,1334594234.0
2020,Curicó-8,1506576.29,1411601721.0
2020,Constitución-10,1549628.09,1451939535.0
2020,Teno-6,1574159.77,1474924738.0
2020,Linares-9,1581818.76,1482100905.0
2020,Villa Alegre-5,1609575.03,1508107420.0
2020,Longaví-1,1622057.83,1519803304.0
2020,Molina-4,1633607.47,1530624855.0
2020,San Clemente-3,1645712.28,1541966578.0
2020,Talca-7,1645766.83,1542017689.0
2021,Constitución-10,1510547.05,1415322164.0
2021,Teno-6,1565037.57,1466377602.0
2021,Longaví-1,1566578.08,1467820998.0
2021,Linares-9,1591357.5,1491038323.0
2021,Villa Alegre-5,1605320.28,1504120890.0
2021,Curicó-8,1638574.82,1535279063.0
2021,Molina-4,1646144.85,1542371879.0
2021,Talca-7,1675135.75,1569535192.0
2021,Cauquenes-2,1675509.88,1569885737.0
2021,San Clemente-3,1709040.01,1601302128.0
2022,San Clemente-3,1553698.7,1455753534.0
2022,Constitución-10,1558736.46,1460473714.0
2022,Longaví-1,1563227.3,1464681451.0
2022,Teno-6,1572365.58,1473243654.0
2022,Linares-9,1572672.64,1473531357.0
2022,Cauquenes-2,1589258.73,1489071860.0
2022,Talca-7,1598073.15,1497330619.0
2022,Molina-4,1613102.43,1511412453.0
2022,Curicó-8,1654037.44,1549766920.0
2022,Villa Alegre-5,1701506.73,1594243746.0
2023,Linares-9,1484763.35,1391163868.0
2023,San Clemente-3,1488721.89,1394872862.0
2023,Curicó-8,1509259.51,1414115790.0
2023,Teno-6,1539523.57,1442472004.0
2023,Constitución-10,1617452.47,1515488266.0
2023,Villa Alegre-5,1639785.38,1536413310.0
2023,Talca-7,1646016.34,1542251470.0
2023,Molina-4,1646338.68,1542553490.0
2023,Longaví-1,1668809.9,1563608124.0
2023,Cauquenes-2,1678361.23,1572557338.0
2024,Constitución-10,1506016.68,1411077388.0
2024,Molina-4,1530989.59,1434476006.0
2024,Teno-6,1570342.26,1471347884.0
2024,Linares-9,1571407.31,1472345793.0
2024,San Clemente-3,1585179.33,1485249625.0
2024,Curicó-8,1588640.86,1488492940.0
2024,Cauquenes-2,1597352.72,1496655605.0
2024,Longaví-1,1599024.07,1498221593.0
2024,Talca-7,1627256.41,1524674166.0
2024,Villa Alegre-5,1629829.46,1527085011.0
2025,Villa Alegre-5,432733.82,405454280.0
2025,Linares-9,507313.51,475332466.0
2025,Molina-4,515507.26,483009682.0
2025,Constitución-10,526064.92,492901787.0
2025,Cauquenes-2,548714.37,514123416.0
2025,Longaví-1,557863.73,522696000.0
2025,Talca-7,559909.75,524613039.0
2025,Curicó-8,591387.79,554106704.0
2025,San Clemente-3,596783.66,559162418.0
2025,Teno-6,635292.81,595243951.0
