product,quantity,unit_price,date,client,total,month
Graph paper,19.0,30.85,2024-10-22,Diaz-Fitzgerald,586.15,2024-10
Charger & extension cord,96.0,432.75,2025-01-28,Williams-Alexander,41544.0,2025-01
Folder,135.0,426.0,2024-07-17,Bowen Group,57510.0,2024-07
Tablet,53.0,19.77,2025-01-05,"Jacobs, Marquez and Russell",1047.81,2025-01
Tissues,77.0,363.74,2025-04-20,"Mccullough, Frank and Bradley",28007.98,2025-04
Pencil pouch,35.0,105.65,2025-02-23,Peterson LLC,3697.75,2025-02
Sharpener,128.0,143.78,2024-11-27,Garcia LLC,18403.84,2024-11
Mouse,43.0,363.09,2024-12-12,Fuentes Group,15612.87,2024-12
Crayons or watercolor paints,72.0,257.36,2024-07-22,Wright-Phillips,18529.92,2024-07
Pencil case,126.0,120.61,2024-11-18,Weaver and Sons,15196.86,2024-11
Glue stick & liquid glue,127.0,104.54,2025-01-20,Chase Ltd,13276.58,2025-01
Erasers,52.0,119.03,2025-03-02,Turner-Nichols,6189.56,2025-03
Crayons or watercolor paints,135.0,65.8,2024-10-22,Martinez-Cole,8883.0,2024-10
Sharpener,23.0,59.15,2024-05-21,"Aguilar, Manning and Garrett",1360.45,2024-05
Colored pencils,63.0,252.75,2025-03-12,Davis-Parsons,15923.25,2025-03
Sticky notes,144.0,55.8,2024-07-24,Moore-Shannon,8035.2,2024-07
Clipboard,62.0,424.17,2025-02-27,"Finley, Webb and Scott",26298.54,2025-02
Mechanical pencil,42.0,304.79,2024-09-09,Moore-Clarke,12801.18,2024-09
Graphing calculator,39.0,117.69,2024-07-09,Walters Group,4589.91,2024-07
Tissues,61.0,145.27,2024-12-10,"Short, Patel and Ward",8861.47,2024-12
page flags,77.0,79.94,2024-10-31,Valdez-Rodriguez,6155.38,2024-10
Compass,21.0,359.54,2025-05-02,"Martinez, Butler and Edwards",7550.34,2025-05
Clipboard,116.0,109.02,2024-08-26,Fowler-Parker,12646.32,2024-08
Graphing calculator,46.0,15.27,2024-09-13,"Jones, Nelson and Koch",702.42,2024-09
Laptop,51.0,49.37,2024-10-08,Curry Group,2517.87,2024-10
Scientific calculator,103.0,148.35,2024-07-11,"Mercado, Sullivan and Wright",15280.05,2024-07
Crayons or watercolor paints,85.0,252.85,2025-02-09,"Gardner, Perry and Cook",21492.25,2025-02
Pencil case,45.0,18.6,2024-12-21,Mills-Brown,837.0,2024-12
Colored pencils,97.0,424.44,2025-03-11,"Houston, Hughes and Ayala",41170.68,2025-03
Art sketchbook,139.0,57.26,2025-01-20,Pacheco-Schwartz,7959.14,2025-01
Erasers,48.0,31.69,2024-08-15,Savage-Shaffer,1521.12,2024-08
Index cards,79.0,407.88,2024-06-29,Flores and Sons,32222.52,2024-06
Backpack,70.0,271.44,2024-07-31,Moore-Vaughn,19000.8,2024-07
Index cards,19.0,263.57,2024-12-15,Rodgers-Williams,5007.83,2024-12
3-ring binders,103.0,24.15,2025-01-15,Anderson-Hudson,2487.45,2025-01
Lab notebook,84.0,257.26,2025-05-08,"Nelson, Johnson and Brown",21609.84,2025-05
Black pen,47.0,434.89,2024-12-09,White-Ballard,20439.83,2024-12
Tissues,62.0,409.6,2024-07-26,Reeves-Meyer,25395.2,2024-07
Crayons or watercolor paints,112.0,355.28,2024-09-20,"Baker, Mcdaniel and Woods",39791.36,2024-09
USB flash drive,35.0,44.72,2024-09-23,Robinson-Anderson,1565.2,2024-09
Art sketchbook,134.0,158.0,2024-06-25,Chan-Thompson,21172.0,2024-06
Loose-leaf paper,135.0,50.94,2024-09-16,Knight-Barry,6876.9,2024-09
Laptop,124.0,218.77,2024-10-13,Baker-Johnson,27127.48,2024-10
Tissues,99.0,409.82,2024-06-30,Hunt-French,40572.18,2024-06
Tissues,71.0,252.87,2024-12-07,Watson and Sons,17953.77,2024-12
Safety scissors,88.0,317.24,2024-08-09,Watson-Chase,27917.12,2024-08
page flags,50.0,380.91,2024-07-27,"James, Long and Henry",19045.5,2024-07
Laptop,78.0,277.35,2024-09-21,Price-Myers,21633.3,2024-09
Pencil pouch,141.0,38.77,2024-12-27,"Shepherd, Green and Garrett",5466.57,2024-12
Highlighter,25.0,50.38,2024-06-09,Bryant-Lyons,1259.5,2024-06
Red pen,141.0,196.75,2024-07-14,Young and Sons,27741.75,2024-07
Lined notebooks or composition books,140.0,372.12,2024-10-23,"Ashley, Baxter and Powers",52096.8,2024-10
Ruler,66.0,312.91,2024-05-11,Lawrence-Brown,20652.06,2024-05
Headphones or earbuds,52.0,358.0,2025-01-03,Mendoza-James,18616.0,2025-01
Construction paper,93.0,302.36,2024-10-23,Robinson Ltd,28119.48,2024-10
Laptop,22.0,388.8,2024-10-08,"Davis, Mckenzie and Rodriguez",8553.6,2024-10
Black pen,107.0,253.88,2025-05-02,Collins PLC,27165.16,2025-05
Construction paper,87.0,257.09,2025-03-09,Weber LLC,22366.83,2025-03
Construction paper,122.0,460.62,2025-01-03,"Black, Lopez and Frederick",56195.64,2025-01
Mechanical pencil,134.0,317.61,2024-06-02,"Barnett, Bennett and Wright",42559.74,2024-06
Tissues,77.0,392.76,2024-05-14,Jones-Vaughan,30242.52,2024-05
Highlighter,66.0,294.06,2024-08-11,"Massey, Cantu and Ramirez",19407.96,2024-08
Crayons or watercolor paints,111.0,298.02,2024-10-20,"Conley, Kim and Jackson",33080.22,2024-10
Laptop,50.0,272.28,2024-09-05,Wheeler Inc,13614.0,2024-09
Graphing calculator,93.0,422.53,2024-06-24,Perez Ltd,39295.29,2024-06
Glue stick & liquid glue,31.0,57.65,2025-02-18,Meyer Group,1787.15,2025-02
Tissues,44.0,497.7,2024-11-05,Lee-Ross,21898.8,2024-11
#2 Pencil,80.0,474.55,2024-07-02,Mckenzie-Curtis,37964.0,2024-07
Art sketchbook,95.0,53.99,2024-10-12,Griffin LLC,5129.05,2024-10
Sticky notes,40.0,468.71,2025-01-22,Stevens LLC,18748.4,2025-01
Mechanical pencil,82.0,439.21,2024-12-18,"Olson, Vasquez and Beard",36015.22,2024-12
Safety scissors,93.0,339.98,2024-05-25,Rogers-Bradley,31618.14,2024-05
Graph paper,119.0,233.95,2024-08-26,"Weaver, Frazier and Powell",27840.05,2024-08
Backpack,69.0,53.59,2024-11-02,Acevedo-Chapman,3697.71,2024-11
Safety scissors,47.0,424.1,2024-12-20,"Carpenter, Porter and Bell",19932.7,2024-12
Red pen,22.0,317.85,2025-03-13,Sheppard-Gomez,6992.7,2025-03
Graph paper,53.0,27.72,2024-06-19,Dixon-Miller,1469.16,2024-06
Index cards,120.0,257.86,2024-09-30,Barber Ltd,30943.2,2024-09
Folder,121.0,123.5,2024-05-10,Martinez-Green,14943.5,2024-05
Safety scissors,65.0,431.08,2024-06-02,Williams and Sons,28020.2,2024-06
Lunch box or bag,94.0,388.09,2025-01-08,Farmer-Thomas,36480.46,2025-01
Clipboard,40.0,361.55,2024-09-23,"Turner, Frye and Krause",14462.0,2024-09
Mechanical pencil,22.0,376.81,2024-08-15,Greene-Nunez,8289.82,2024-08
Scientific calculator,59.0,289.61,2024-12-29,Garcia-Miller,17086.99,2024-12
Compass,72.0,163.22,2025-01-23,Hobbs and Sons,11751.84,2025-01
Water bottle,103.0,439.38,2024-10-18,Mccoy-Myers,45256.14,2024-10
Hand sanitizer,31.0,367.56,2024-08-25,Schwartz PLC,11394.36,2024-08
Red pen,72.0,418.37,2025-04-18,Pennington Group,30122.64,2025-04
Lunch box or bag,89.0,122.28,2025-01-11,Robinson and Sons,10882.92,2025-01
Loose-leaf paper,139.0,75.46,2024-10-07,Stevenson-Hamilton,10488.94,2024-10
Backpack,71.0,67.7,2024-07-08,Sandoval PLC,4806.7,2024-07
Graph paper,70.0,303.33,2024-12-22,Lucas-Harvey,21233.1,2024-12
Graph paper,75.0,466.52,2024-07-23,"Lewis, Bennett and Simon",34989.0,2024-07
Art sketchbook,65.0,447.67,2024-09-19,Long-Harris,29098.55,2024-09
Laptop,53.0,416.37,2024-07-06,Carroll Group,22067.61,2024-07
Scientific calculator,72.0,33.6,2025-03-16,"Murphy, Oconnor and Craig",2419.2,2025-03
Safety scissors,109.0,219.37,2024-12-03,Little-Patton,23911.33,2024-12
Hand sanitizer,122.0,285.64,2024-09-08,"Holder, Johnson and Jefferson",34848.08,2024-09
Mouse,96.0,266.16,2025-03-06,Jackson-Ritter,25551.36,2025-03
Laptop,68.0,386.19,2025-02-14,"Barton, Savage and Bailey",26260.92,2025-02
Blue pen,54.0,362.48,2025-04-26,"Carlson, Roman and Young",19573.92,2025-04
Art sketchbook,104.0,133.44,2024-09-27,"Smith, Howard and Santos",13877.76,2024-09
markers,103.0,187.25,2025-04-12,Brooks PLC,19286.75,2025-04
Blue pen,43.0,373.15,2025-01-16,"Henson, Thompson and Williams",16045.45,2025-01
Compass,123.0,240.69,2024-07-26,"Spears, Arnold and Martinez",29604.87,2024-07
Clipboard,61.0,411.52,2024-07-11,Sawyer-Henson,25102.72,2024-07
Red pen,26.0,363.12,2024-06-24,Olsen Ltd,9441.12,2024-06
Dividers with tabs,67.0,128.46,2024-11-01,Jenkins-Mills,8606.82,2024-11
